

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
024.831  005.691  000.322: require('cmp_nvim_ultisnips')
026.535  000.500  000.500: require('tailwindcss-colorizer-cmp')
027.059  000.391  000.391: require('cmp.utils.highlight')
027.239  000.616  000.225: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
027.442  000.103  000.103: require('helper.colors')
027.525  000.081  000.081: require('helper.symbols')
027.602  000.077  000.077: require('helper.statusline_segments')
027.696  000.092  000.092: require('helper.lualine')
027.701  000.451  000.098: require('helper')
027.801  000.099  000.099: require('helper.cmp')
031.281  000.069  000.069: require('tabnine.config')
031.352  000.069  000.069: require('tabnine.consts')
031.412  000.059  000.059: require('tabnine.state')
031.572  000.090  000.090: require('tabnine.third_party.semver.semver')
031.651  000.078  000.078: require('tabnine.utils')
031.658  000.245  000.077: require('tabnine.binary')
031.661  000.529  000.086: require('tabnine.completion')
031.686  000.624  000.095: require('tabnine.auto_commands')
032.230  000.289  000.289: require('tabnine.chat.binary')
032.360  000.128  000.128: require('tabnine.lsp')
032.372  000.560  000.142: require('tabnine.chat')
032.471  000.098  000.098: require('tabnine.chat.codelens')
032.477  000.724  000.067: require('tabnine.chat.auto_commands')
032.592  000.114  000.114: require('tabnine.features')
032.647  000.055  000.055: require('tabnine.chat.user_commands')
032.648  000.961  000.068: require('tabnine.chat.setup')
032.704  000.054  000.054: require('tabnine.keymaps')
032.759  000.055  000.055: require('tabnine.status')
032.821  000.061  000.061: require('tabnine.user_commands')
033.152  000.087  000.087: require('vim.lsp.log')
033.192  000.203  000.116: require('vim.lsp.handlers')
033.276  000.083  000.083: require('vim.lsp.rpc')
033.334  000.057  000.057: require('vim.lsp.sync')
033.409  000.074  000.074: require('vim.lsp.semantic_tokens')
033.488  000.077  000.077: require('vim.lsp.buf')
033.545  000.057  000.057: require('vim.lsp.diagnostic')
033.607  000.060  000.060: require('vim.lsp.codelens')
033.641  000.766  000.155: require('vim.lsp')
033.642  000.821  000.055: require('tabnine.workspace')
033.643  002.933  000.358: require('tabnine')
033.721  000.061  000.061: require('vim.version')
035.226  007.424  004.430: require('tabnine.keymaps')
036.186  017.793  003.013: require('cmp')
037.045  000.354  000.354: require('onedark')
038.234  000.060  000.060: require('onedark')
038.768  000.072  000.072: require('onedark.palette')
038.820  000.188  000.116: require('onedark.colors')
038.892  000.063  000.063: require('onedark.util')
038.968  000.476  000.226: require('onedark.highlights')
040.418  000.106  000.106: require('onedark.terminal')
040.426  002.544  001.902: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/onedark.nvim/colors/onedark.lua
040.714  000.023  000.023: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-graphql/ftdetect/graphql.vim
041.372  000.111  000.111: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/ctrlsf.vim/autoload/ctrlsf/backend.vim
041.576  000.573  000.461: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/ctrlsf.vim/plugin/ctrlsf.vim
042.232  000.529  000.529: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-fugitive/plugin/fugitive.vim
042.340  000.006  000.006: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/vim-fugitive/ftdetect/fugitive.vim
043.877  000.104  000.104: require('vim.treesitter.language')
043.909  000.243  000.140: require('vim.treesitter.query')
044.008  000.098  000.098: require('vim.treesitter._range')
044.028  000.473  000.132: require('vim.treesitter.languagetree')
044.032  000.589  000.116: require('vim.treesitter')
044.915  001.716  001.127: require('nvim-treesitter.parsers')
044.917  002.092  000.376: require('nvim-treesitter-playground')
045.347  000.127  000.127: require('nvim-treesitter.utils')
045.569  000.047  000.047: require('nvim-treesitter.compat')
045.676  000.057  000.057: require('nvim-treesitter.ts_utils')
045.679  000.110  000.052: require('nvim-treesitter.tsrange')
045.730  000.050  000.050: require('nvim-treesitter.caching')
045.736  000.267  000.061: require('nvim-treesitter.query')
045.745  000.342  000.074: require('nvim-treesitter.configs')
045.746  000.398  000.057: require('nvim-treesitter.info')
045.810  000.063  000.063: require('nvim-treesitter.shell_command_selectors')
045.821  000.778  000.190: require('nvim-treesitter.install')
045.874  000.052  000.052: require('nvim-treesitter.statusline')
045.929  000.054  000.054: require('nvim-treesitter.query_predicates')
045.930  001.013  000.129: require('nvim-treesitter')
045.940  003.163  000.058: sourcing /Users/bartoszmaka/.local/share/nvim/lazy/playground/plugin/nvim-treesitter-playground.lua
046.489  000.355  000.355: require('nvim-treesitter-textobjects')
